frame,timestamp,hand_idx,landmark_idx,x,y,z,x_rel,y_rel,z_rel
95,1776361257.4002,0,17,0.293223,0.767226,-0.110665,0.108612,0.007163,-0.110665
95,1776361257.4002,0,18,0.349030,0.752887,-0.096177,0.164419,-0.007175,-0.096177
95,1776361257.4002,0,19,0.326677,0.760223,-0.065802,0.142066,0.000161,-0.065802
95,1776361257.4002,0,20,0.298237,0.759311,-0.045842,0.113626,-0.000751,-0.045842
100,1776361258.1891,0,0,0.171975,0.806405,0.000000,0.000000,0.000000,0.000000
100,1776361258.1891,0,1,0.226935,0.749126,0.015197,0.054960,-0.057279,0.015197
100,1776361258.1891,0,2,0.285829,0.697919,-0.015467,0.113854,-0.108487,-0.015467
100,1776361258.1891,0,3,0.331209,0.677222,-0.052089,0.159234,-0.129184,-0.052089
100,1776361258.1891,0,4,0.371807,0.674447,-0.088479,0.199832,-0.131959,-0.088479
100,1776361258.1891,0,5,0.277776,0.625467,-0.089640,0.105801,-0.180938,-0.089640
100,1776361258.1891,0,6,0.351843,0.602779,-0.137841,0.179868,-0.203627,-0.137841
100,1776361258.1891,0,7,0.398722,0.630358,-0.154746,0.226747,-0.176048,-0.154746
100,1776361258.1891,0,8,0.426323,0.656670,-0.163707,0.254348,-0.149735,-0.163707
100,1776361258.1891,0,9,0.247013,0.656076,-0.123664,0.075038,-0.150329,-0.123664
100,1776361258.1891,0,10,0.344174,0.667380,-0.176954,0.172199,-0.139026,-0.176954
100,1776361258.1891,0,11,0.381453,0.717269,-0.175688,0.209478,-0.089136,-0.175688
100,1776361258.1891,0,12,0.395662,0.749228,-0.171455,0.223687,-0.057178,-0.171455
100,1776361258.1891,0,13,0.219934,0.708583,-0.152353,0.047959,-0.097822,-0.152353
100,1776361258.1891,0,14,0.309354,0.732089,-0.189101,0.137379,-0.074316,-0.189101
100,1776361258.1891,0,15,0.336416,0.776740,-0.164773,0.164441,-0.029666,-0.164773
100,1776361258.1891,0,16,0.341191,0.800961,-0.146271,0.169216,-0.005444,-0.146271
100,1776361258.1891,0,17,0.198939,0.770413,-0.180690,0.026964,-0.035993,-0.180690
100,1776361258.1891,0,18,0.269466,0.791104,-0.199873,0.097491,-0.015301,-0.199873
100,1776361258.1891,0,19,0.293542,0.813352,-0.182405,0.121567,0.006947,-0.182405
100,1776361258.1891,0,20,0.299761,0.823619,-0.169141,0.127786,0.017213,-0.169141
135,1776361263.4775,0,0,0.868285,0.645421,-0.000000,0.000000,0.000000,0.000000
135,1776361263.4775,0,1,0.866984,0.589301,-0.018899,-0.001301,-0.056120,-0.018899
135,1776361263.4775,0,2,0.880764,0.531982,-0.037412,0.012479,-0.113439,-0.037412
135,1776361263.4775,0,3,0.892709,0.494495,-0.055356,0.024423,-0.150926,-0.055356
135,1776361263.4775,0,4,0.893600,0.462383,-0.071361,0.025315,-0.183038,-0.071361
135,1776361263.4775,0,5,0.945897,0.531254,-0.034979,0.077612,-0.114167,-0.034979
135,1776361263.4775,0,6,0.947455,0.500427,-0.055800,0.079170,-0.144994,-0.055800
135,1776361263.4775,0,7,0.914692,0.502480,-0.063559,0.046407,-0.142941,-0.063559
135,1776361263.4775,0,8,0.894617,0.509391,-0.067450,0.026332,-0.136030,-0.067450
135,1776361263.4775,0,9,0.959699,0.561518,-0.040577,0.091413,-0.083903,-0.040577
135,1776361263.4775,0,10,0.948078,0.531382,-0.067400,0.079792,-0.114039,-0.067400
135,1776361263.4775,0,11,0.910206,0.542626,-0.073368,0.041921,-0.102795,-0.073368
135,1776361263.4775,0,12,0.895524,0.556351,-0.073885,0.027239,-0.089070,-0.073885
135,1776361263.4775,0,13,0.965849,0.594986,-0.047300,0.097563,-0.050435,-0.047300
135,1776361263.4775,0,14,0.951775,0.566794,-0.068937,0.083489,-0.078627,-0.068937
135,1776361263.4775,0,15,0.917762,0.576134,-0.066383,0.049476,-0.069287,-0.066383
135,1776361263.4775,0,16,0.905958,0.588140,-0.061962,0.037672,-0.057281,-0.061962
135,1776361263.4775,0,17,0.967706,0.631941,-0.056525,0.099420,-0.013480,-0.056525
135,1776361263.4775,0,18,0.962727,0.605364,-0.067398,0.094441,-0.040057,-0.067398
135,1776361263.4775,0,19,0.938732,0.608519,-0.063897,0.070446,-0.036902,-0.063897
135,1776361263.4775,0,20,0.928663,0.619007,-0.060084,0.060378,-0.026414,-0.060084
140,1776361264.3109,0,0,0.790627,0.631805,-0.000000,0.000000,0.000000,0.000000
140,1776361264.3109,0,1,0.815330,0.617726,-0.005611,0.024703,-0.014079,-0.005611
140,1776361264.3109,0,2,0.842635,0.603928,-0.010238,0.052008,-0.027877,-0.010238
140,1776361264.3109,0,3,0.865551,0.600040,-0.014836,0.074924,-0.031765,-0.014836
140,1776361264.3109,0,4,0.885433,0.600646,-0.019638,0.094806,-0.031159,-0.019638
140,1776361264.3109,0,5,0.866803,0.566186,-0.012023,0.076176,-0.065620,-0.012023
140,1776361264.3109,0,6,0.909265,0.578560,-0.016428,0.118638,-0.053246,-0.016428
140,1776361264.3109,0,7,0.925758,0.605318,-0.018451,0.135131,-0.026487,-0.018451
140,1776361264.3109,0,8,0.931785,0.627110,-0.020504,0.141158,-0.004696,-0.020504
140,1776361264.3109,0,9,0.864068,0.570752,-0.014622,0.073440,-0.061053,-0.014622
140,1776361264.3109,0,10,0.907451,0.584076,-0.020627,0.116824,-0.047730,-0.020627
140,1776361264.3109,0,11,0.925623,0.608443,-0.026394,0.134995,-0.023362,-0.026394
140,1776361264.3109,0,12,0.933219,0.629356,-0.031560,0.142592,-0.002450,-0.031560
140,1776361264.3109,0,13,0.859616,0.582296,-0.016993,0.068989,-0.049509,-0.016993
140,1776361264.3109,0,14,0.898705,0.592627,-0.021555,0.108078,-0.039178,-0.021555
140,1776361264.3109,0,15,0.918297,0.613302,-0.028373,0.127670,-0.018504,-0.028373
140,1776361264.3109,0,16,0.928587,0.631606,-0.034352,0.137960,-0.000200,-0.034352
140,1776361264.3109,0,17,0.854455,0.599183,-0.020023,0.063828,-0.032622,-0.020023
140,1776361264.3109,0,18,0.881653,0.606309,-0.024557,0.091026,-0.025496,-0.024557
140,1776361264.3109,0,19,0.896718,0.615277,-0.029943,0.106091,-0.016528,-0.029943
140,1776361264.3109,0,20,0.906591,0.625059,-0.034636,0.115963,-0.006746,-0.034636
170,1776361268.8229,0,0,0.726085,0.643663,-0.000000,0.000000,0.000000,0.000000
170,1776361268.8229,0,1,0.728694,0.600616,0.005216,0.002609,-0.043047,0.005216
170,1776361268.8229,0,2,0.743964,0.564873,0.000828,0.017879,-0.078790,0.000828
170,1776361268.8229,0,3,0.755443,0.541376,-0.008900,0.029358,-0.102287,-0.008900
170,1776361268.8229,0,4,0.763380,0.526373,-0.019274,0.037295,-0.117289,-0.019274
170,1776361268.8229,0,5,0.779456,0.557480,0.006617,0.053372,-0.086182,0.006617
170,1776361268.8229,0,6,0.794491,0.525996,-0.010071,0.068406,-0.117666,-0.010071
170,1776361268.8229,0,7,0.779343,0.509147,-0.021189,0.053259,-0.134516,-0.021189
170,1776361268.8229,0,8,0.763362,0.502816,-0.026574,0.037277,-0.140847,-0.026574
170,1776361268.8229,0,9,0.787234,0.574024,-0.007247,0.061149,-0.069639,-0.007247
170,1776361268.8229,0,10,0.800505,0.535195,-0.031559,0.074420,-0.108468,-0.031559
170,1776361268.8229,0,11,0.774455,0.525326,-0.045491,0.048371,-0.118337,-0.045491
170,1776361268.8229,0,12,0.752985,0.529906,-0.049941,0.026900,-0.113757,-0.049941
170,1776361268.8229,0,13,0.792770,0.594901,-0.022210,0.066685,-0.048762,-0.022210
170,1776361268.8229,0,14,0.808468,0.557913,-0.042745,0.082383,-0.085750,-0.042745
170,1776361268.8229,0,15,0.782017,0.549045,-0.048221,0.055932,-0.094617,-0.048221
170,1776361268.8229,0,16,0.758548,0.556395,-0.047934,0.032463,-0.087268,-0.047934
170,1776361268.8229,0,17,0.797152,0.619593,-0.037876,0.071067,-0.024069,-0.037876
170,1776361268.8229,0,18,0.812128,0.593636,-0.049897,0.086044,-0.050027,-0.049897
170,1776361268.8229,0,19,0.796488,0.580184,-0.052107,0.070403,-0.063479,-0.052107
170,1776361268.8229,0,20,0.779191,0.578741,-0.051923,0.053106,-0.064922,-0.051923
