frame,timestamp,hand_idx,landmark_idx,x,y,z,x_rel,y_rel,z_rel
15,1776371857.9912,1,20,0.491041,0.561462,-0.031567,-0.075368,0.008569,-0.031567
20,1776371858.2572,0,0,0.363488,0.793162,0.000000,0.000000,0.000000,0.000000
20,1776371858.2572,0,1,0.373411,0.726843,0.003014,0.009924,-0.066319,0.003014
20,1776371858.2572,0,2,0.402108,0.672745,-0.003951,0.038621,-0.120417,-0.003951
20,1776371858.2572,0,3,0.436945,0.649167,-0.009566,0.073458,-0.143995,-0.009566
20,1776371858.2572,0,4,0.464341,0.660292,-0.014034,0.100854,-0.132870,-0.014034
20,1776371858.2572,0,5,0.420222,0.702027,-0.040387,0.056734,-0.091135,-0.040387
20,1776371858.2572,0,6,0.475604,0.699351,-0.047256,0.112117,-0.093811,-0.047256
20,1776371858.2572,0,7,0.498093,0.698400,-0.040254,0.134605,-0.094762,-0.040254
20,1776371858.2572,0,8,0.510544,0.699522,-0.034181,0.147057,-0.093640,-0.034181
20,1776371858.2572,0,9,0.428096,0.745191,-0.043385,0.064608,-0.047971,-0.043385
20,1776371858.2572,0,10,0.488420,0.737422,-0.051909,0.124933,-0.055740,-0.051909
20,1776371858.2572,0,11,0.516009,0.729989,-0.041315,0.152521,-0.063174,-0.041315
20,1776371858.2572,0,12,0.534282,0.726620,-0.032934,0.170794,-0.066542,-0.032934
20,1776371858.2572,0,13,0.431836,0.782842,-0.041956,0.068349,-0.010321,-0.041956
20,1776371858.2572,0,14,0.483912,0.773281,-0.045017,0.120424,-0.019881,-0.045017
20,1776371858.2572,0,15,0.497700,0.762899,-0.027628,0.134212,-0.030263,-0.027628
20,1776371858.2572,0,16,0.503700,0.755134,-0.014382,0.140212,-0.038028,-0.014382
20,1776371858.2572,0,17,0.431998,0.815414,-0.040164,0.068510,0.022252,-0.040164
20,1776371858.2572,0,18,0.468650,0.801676,-0.037423,0.105162,0.008514,-0.037423
20,1776371858.2572,0,19,0.471935,0.793044,-0.023511,0.108448,-0.000118,-0.023511
20,1776371858.2572,0,20,0.469497,0.788021,-0.012363,0.106009,-0.005142,-0.012363
20,1776371858.2572,1,0,0.582601,0.544208,-0.000000,0.000000,0.000000,0.000000
20,1776371858.2572,1,1,0.537127,0.528340,0.023503,-0.045473,-0.015867,0.023503
20,1776371858.2572,1,2,0.507879,0.502707,0.021083,-0.074722,-0.041501,0.021083
20,1776371858.2572,1,3,0.486336,0.483771,0.013042,-0.096264,-0.060436,0.013042
20,1776371858.2572,1,4,0.471479,0.470043,0.006472,-0.111121,-0.074165,0.006472
20,1776371858.2572,1,5,0.518300,0.442606,-0.007192,-0.064301,-0.101601,-0.007192
20,1776371858.2572,1,6,0.477469,0.419966,-0.016117,-0.105132,-0.124241,-0.016117
20,1776371858.2572,1,7,0.460018,0.446820,-0.014248,-0.122583,-0.097387,-0.014248
20,1776371858.2572,1,8,0.457514,0.472766,-0.012293,-0.125086,-0.071441,-0.012293
20,1776371858.2572,1,9,0.528304,0.450118,-0.028337,-0.054296,-0.094090,-0.028337
20,1776371858.2572,1,10,0.472631,0.450504,-0.042896,-0.109969,-0.093703,-0.042896
20,1776371858.2572,1,11,0.456470,0.484506,-0.039375,-0.126131,-0.059702,-0.039375
20,1776371858.2572,1,12,0.458608,0.507097,-0.034701,-0.123992,-0.037111,-0.034701
20,1776371858.2572,1,13,0.535754,0.468632,-0.046344,-0.046847,-0.075576,-0.046344
20,1776371858.2572,1,14,0.484897,0.487449,-0.054613,-0.097703,-0.056759,-0.054613
20,1776371858.2572,1,15,0.477837,0.519046,-0.043474,-0.104764,-0.025161,-0.043474
20,1776371858.2572,1,16,0.483878,0.535799,-0.034957,-0.098723,-0.008409,-0.034957
20,1776371858.2572,1,17,0.540852,0.493683,-0.062884,-0.041749,-0.050525,-0.062884
20,1776371858.2572,1,18,0.502813,0.514318,-0.064343,-0.079788,-0.029889,-0.064343
20,1776371858.2572,1,19,0.496899,0.535234,-0.055612,-0.085701,-0.008973,-0.055612
20,1776371858.2572,1,20,0.499552,0.546005,-0.048915,-0.083048,0.001797,-0.048915
25,1776371858.5094,0,0,0.381363,0.847621,0.000000,0.000000,0.000000,0.000000
25,1776371858.5094,0,1,0.395754,0.773875,-0.016697,0.014391,-0.073746,-0.016697
25,1776371858.5094,0,2,0.429279,0.725612,-0.031072,0.047916,-0.122009,-0.031072
25,1776371858.5094,0,3,0.468851,0.712869,-0.038036,0.087487,-0.134752,-0.038036
25,1776371858.5094,0,4,0.498477,0.727900,-0.043311,0.117114,-0.119721,-0.043311
25,1776371858.5094,0,5,0.445258,0.789531,-0.071492,0.063895,-0.058090,-0.071492
25,1776371858.5094,0,6,0.509241,0.799777,-0.075526,0.127878,-0.047844,-0.075526
25,1776371858.5094,0,7,0.533060,0.791481,-0.062118,0.151697,-0.056140,-0.062118
25,1776371858.5094,0,8,0.543038,0.785605,-0.050503,0.161674,-0.062016,-0.050503
25,1776371858.5094,0,9,0.450686,0.837252,-0.060985,0.069323,-0.010369,-0.060985
25,1776371858.5094,0,10,0.514307,0.829553,-0.058863,0.132943,-0.018068,-0.058863
25,1776371858.5094,0,11,0.520805,0.804590,-0.033855,0.139442,-0.043031,-0.033855
25,1776371858.5094,0,12,0.511935,0.791086,-0.016261,0.130572,-0.056535,-0.016261
25,1776371858.5094,0,13,0.454545,0.870954,-0.047074,0.073182,0.023333,-0.047074
25,1776371858.5094,0,14,0.509604,0.853738,-0.042653,0.128240,0.006117,-0.042653
25,1776371858.5094,0,15,0.512437,0.832337,-0.020069,0.131074,-0.015284,-0.020069
25,1776371858.5094,0,16,0.502476,0.823581,-0.004374,0.121112,-0.024040,-0.004374
25,1776371858.5094,0,17,0.457237,0.893958,-0.033871,0.075873,0.046337,-0.033871
25,1776371858.5094,0,18,0.498408,0.873739,-0.029384,0.117045,0.026118,-0.029384
25,1776371858.5094,0,19,0.498359,0.853992,-0.015854,0.116996,0.006370,-0.015854
25,1776371858.5094,0,20,0.488485,0.845581,-0.004640,0.107122,-0.002040,-0.004640
25,1776371858.5094,1,0,0.603416,0.531261,-0.000000,0.000000,0.000000,0.000000
25,1776371858.5094,1,1,0.553285,0.524728,0.015591,-0.050131,-0.006534,0.015591
25,1776371858.5094,1,2,0.517633,0.512886,0.008405,-0.085783,-0.018376,0.008405
25,1776371858.5094,1,3,0.490635,0.507944,-0.005032,-0.112781,-0.023317,-0.005032
25,1776371858.5094,1,4,0.473396,0.497020,-0.017753,-0.130020,-0.034242,-0.017753
25,1776371858.5094,1,5,0.534275,0.427127,-0.005278,-0.069141,-0.104134,-0.005278
25,1776371858.5094,1,6,0.491394,0.412298,-0.017900,-0.112022,-0.118963,-0.017900
25,1776371858.5094,1,7,0.474180,0.442796,-0.021234,-0.129236,-0.088466,-0.021234
25,1776371858.5094,1,8,0.469008,0.471467,-0.023079,-0.134408,-0.059794,-0.023079
25,1776371858.5094,1,9,0.547210,0.429662,-0.026248,-0.056206,-0.101600,-0.026248
25,1776371858.5094,1,10,0.488841,0.437562,-0.044309,-0.114575,-0.093700,-0.044309
25,1776371858.5094,1,11,0.478764,0.479674,-0.045565,-0.124652,-0.051587,-0.045565
25,1776371858.5094,1,12,0.485176,0.504489,-0.044041,-0.118240,-0.026772,-0.044041
25,1776371858.5094,1,13,0.556717,0.443855,-0.045998,-0.046699,-0.087406,-0.045998
25,1776371858.5094,1,14,0.504680,0.460514,-0.058541,-0.098736,-0.070748,-0.058541
25,1776371858.5094,1,15,0.500422,0.498065,-0.052011,-0.102994,-0.033196,-0.052011
25,1776371858.5094,1,16,0.507976,0.518122,-0.046490,-0.095440,-0.013139,-0.046490
25,1776371858.5094,1,17,0.563108,0.466823,-0.065447,-0.040308,-0.064439,-0.065447
25,1776371858.5094,1,18,0.525469,0.484538,-0.071574,-0.077947,-0.046724,-0.071574
25,1776371858.5094,1,19,0.520004,0.507636,-0.066752,-0.083412,-0.023626,-0.066752
25,1776371858.5094,1,20,0.522375,0.519195,-0.062841,-0.081041,-0.012066,-0.062841
30,1776371858.9178,0,0,0.649524,0.523411,0.000000,0.000000,0.000000,0.000000
30,1776371858.9178,0,1,0.595569,0.543609,0.016644,-0.053955,0.020198,0.016644
30,1776371858.9178,0,2,0.553987,0.562930,0.005033,-0.095537,0.039519,0.005033
30,1776371858.9178,0,3,0.526603,0.586746,-0.012857,-0.122921,0.063335,-0.012857
30,1776371858.9178,0,4,0.507078,0.613047,-0.030874,-0.142446,0.089636,-0.030874
30,1776371858.9178,0,5,0.531083,0.519709,-0.020415,-0.118441,-0.003703,-0.020415
30,1776371858.9178,0,6,0.502480,0.557424,-0.047163,-0.147044,0.034013,-0.047163
30,1776371858.9178,0,7,0.497102,0.593411,-0.064108,-0.152422,0.069999,-0.064108
30,1776371858.9178,0,8,0.497246,0.625383,-0.074513,-0.152278,0.101971,-0.074513
30,1776371858.9178,0,9,0.550692,0.510347,-0.045469,-0.098832,-0.013064,-0.045469
30,1776371858.9178,0,10,0.529347,0.574560,-0.075694,-0.120177,0.051149,-0.075694
30,1776371858.9178,0,11,0.530078,0.625655,-0.087482,-0.119446,0.102244,-0.087482
30,1776371858.9178,0,12,0.533427,0.663679,-0.095072,-0.116097,0.140267,-0.095072
30,1776371858.9178,0,13,0.575666,0.511925,-0.068211,-0.073857,-0.011486,-0.068211
30,1776371858.9178,0,14,0.557870,0.579557,-0.089721,-0.091654,0.056146,-0.089721
30,1776371858.9178,0,15,0.556046,0.626281,-0.088706,-0.093478,0.102870,-0.088706
30,1776371858.9178,0,16,0.558856,0.660031,-0.088269,-0.090668,0.136620,-0.088269
30,1776371858.9178,0,17,0.601376,0.519285,-0.090438,-0.048148,-0.004126,-0.090438
30,1776371858.9178,0,18,0.588943,0.569166,-0.101425,-0.060581,0.045755,-0.101425
30,1776371858.9178,0,19,0.587012,0.599951,-0.097691,-0.062512,0.076540,-0.097691
30,1776371858.9178,0,20,0.589003,0.624025,-0.096051,-0.060521,0.100614,-0.096051
35,1776371859.3103,0,0,0.639179,0.508725,-0.000000,0.000000,0.000000,0.000000
35,1776371859.3103,0,1,0.597827,0.527860,0.002633,-0.041353,0.019135,0.002633
35,1776371859.3103,0,2,0.560642,0.552409,-0.016686,-0.078537,0.043684,-0.016686
35,1776371859.3103,0,3,0.537181,0.579951,-0.038042,-0.101998,0.071226,-0.038042
35,1776371859.3103,0,4,0.514512,0.604659,-0.059071,-0.124668,0.095935,-0.059071
35,1776371859.3103,0,5,0.546206,0.500277,-0.048653,-0.092973,-0.008448,-0.048653
35,1776371859.3103,0,6,0.521659,0.536602,-0.081057,-0.117520,0.027877,-0.081057
35,1776371859.3103,0,7,0.513993,0.569615,-0.098674,-0.125187,0.060890,-0.098674
35,1776371859.3103,0,8,0.511231,0.599476,-0.108781,-0.127948,0.090751,-0.108781
35,1776371859.3103,0,9,0.568896,0.496117,-0.065716,-0.070283,-0.012608,-0.065716
35,1776371859.3103,0,10,0.547907,0.561354,-0.103101,-0.091272,0.052629,-0.103101
35,1776371859.3103,0,11,0.545299,0.611272,-0.113281,-0.093881,0.102547,-0.113281
35,1776371859.3103,0,12,0.544198,0.648593,-0.118355,-0.094981,0.139868,-0.118355
35,1776371859.3103,0,13,0.594143,0.503720,-0.080453,-0.045036,-0.005004,-0.080453
35,1776371859.3103,0,14,0.577051,0.570731,-0.107653,-0.062128,0.062006,-0.107653
35,1776371859.3103,0,15,0.574002,0.614229,-0.104047,-0.065178,0.105505,-0.104047
35,1776371859.3103,0,16,0.572897,0.645488,-0.100061,-0.066282,0.136763,-0.100061
35,1776371859.3103,0,17,0.618448,0.517477,-0.094934,-0.020731,0.008752,-0.094934
35,1776371859.3103,0,18,0.605445,0.567129,-0.109942,-0.033734,0.058405,-0.109942
35,1776371859.3103,0,19,0.602463,0.596665,-0.105586,-0.036716,0.087941,-0.105586
35,1776371859.3103,0,20,0.600499,0.619239,-0.102303,-0.038680,0.110514,-0.102303
40,1776371859.6885,0,0,0.644122,0.510567,-0.000000,0.000000,0.000000,0.000000
40,1776371859.6885,0,1,0.601974,0.528269,0.004000,-0.042147,0.017702,0.004000
40,1776371859.6885,0,2,0.564024,0.551869,-0.014191,-0.080097,0.041303,-0.014191
40,1776371859.6885,0,3,0.540203,0.578417,-0.034839,-0.103919,0.067850,-0.034839
40,1776371859.6885,0,4,0.518937,0.601330,-0.055184,-0.125185,0.090763,-0.055184
40,1776371859.6885,0,5,0.550070,0.502202,-0.045583,-0.094052,-0.008365,-0.045583
40,1776371859.6885,0,6,0.525174,0.532923,-0.078363,-0.118948,0.022356,-0.078363
40,1776371859.6885,0,7,0.518927,0.567334,-0.096254,-0.125195,0.056767,-0.096254
40,1776371859.6885,0,8,0.518683,0.599054,-0.106588,-0.125439,0.088487,-0.106588
40,1776371859.6885,0,9,0.572507,0.497323,-0.063957,-0.071615,-0.013243,-0.063957
40,1776371859.6885,0,10,0.550377,0.560855,-0.102152,-0.093745,0.050289,-0.102152
40,1776371859.6885,0,11,0.547333,0.610733,-0.113844,-0.096789,0.100166,-0.113844
40,1776371859.6885,0,12,0.546048,0.646717,-0.120005,-0.098074,0.136151,-0.120005
40,1776371859.6885,0,13,0.597506,0.504130,-0.080048,-0.046616,-0.006436,-0.080048
40,1776371859.6885,0,14,0.579773,0.569643,-0.108441,-0.064349,0.059076,-0.108441
40,1776371859.6885,0,15,0.576653,0.614466,-0.106331,-0.067469,0.103899,-0.106331
40,1776371859.6885,0,16,0.575399,0.645821,-0.103353,-0.068723,0.135254,-0.103353
40,1776371859.6885,0,17,0.621503,0.516776,-0.095872,-0.022619,0.006209,-0.095872
40,1776371859.6885,0,18,0.610145,0.567366,-0.112252,-0.033977,0.056799,-0.112252
40,1776371859.6885,0,19,0.607693,0.599016,-0.108975,-0.036429,0.088449,-0.108975
40,1776371859.6885,0,20,0.605634,0.622771,-0.106309,-0.038488,0.112204,-0.106309
45,1776371860.0658,0,0,0.646812,0.513393,-0.000000,0.000000,0.000000,0.000000
45,1776371860.0658,0,1,0.604589,0.528130,0.005044,-0.042223,0.014737,0.005044
45,1776371860.0658,0,2,0.567478,0.549559,-0.013978,-0.079333,0.036166,-0.013978
45,1776371860.0658,0,3,0.544252,0.575558,-0.035984,-0.102560,0.062165,-0.035984
45,1776371860.0658,0,4,0.523239,0.598040,-0.057806,-0.123572,0.084647,-0.057806
45,1776371860.0658,0,5,0.552409,0.499716,-0.045662,-0.094403,-0.013676,-0.045662
45,1776371860.0658,0,6,0.526211,0.531386,-0.078737,-0.120601,0.017994,-0.078737
45,1776371860.0658,0,7,0.517826,0.564511,-0.097308,-0.128985,0.051119,-0.097308
45,1776371860.0658,0,8,0.514860,0.595922,-0.108086,-0.131952,0.082530,-0.108086
45,1776371860.0658,0,9,0.574782,0.495951,-0.064829,-0.072030,-0.017442,-0.064829
45,1776371860.0658,0,10,0.551878,0.557829,-0.102779,-0.094933,0.044436,-0.102779
45,1776371860.0658,0,11,0.547931,0.606799,-0.114065,-0.098880,0.093406,-0.114065
45,1776371860.0658,0,12,0.545819,0.643678,-0.119972,-0.100992,0.130285,-0.119972
